ADgroup,category,Lic_type,PSgroup,RESgroup,Description,Comments,Activity,category1,userclaim,SNOW-title,SNOW-Description
dlg.WW.ADM-Services.P2V.profile.Reserves.Headoffice,PROFILE,,A21.profile.Reserves.Headoffice,,P2V Headoffice Reserves User,OMV Corporate reserves role (standard user),,,,Reserves Headoffice User,profiles for Headoffice Reserves team
dlg.WW.ADM-Services.P2V.profile.Reserves.Headoffice.Approve,PROFILE,,A23.profile.Reserves.Headoffice.Approve,,P2V Reserves Headoffice Approval,special approval role for Headoffice RESERVES ,,,,Reserves Headoffice Approval,specific profile for headoffice reserves approvers
dlg.WW.ADM-Services.P2V.profile.Reserves.Headoffice.Power,PROFILE,,A22.profile.Reserves.Headoffice.Power,,P2V Headoffice Reserves Power User,OMV Corporate reserves role (power user),,,,Reserves Headoffice Power User,extended rights for Headoffice Reserves power user
dlg.WW.ADM-Services.P2V.profile.Reserves.local.Approve,PROFILE,,A27.profile.Reserves.local.Approve,,P2V Reserves Local Approval,Reserves local country approval role ,,,,Reserves Local Country Approval,Reserves local country approval role
dlg.WW.ADM-Services.P2V.profile.Reserves.local.QRE,PROFILE,,A20.profile.Reserves.local.QRE,,P2V Local Country QRE,extra profile for QREs,,,,Reserves QRE,profile for country QREs in Planningspace and Reserves
dlg.WW.ADM-Services.P2V.profile.Resources.local,PROFILE,,,,P2V Local Country Exploration User,,,,,,
dlg.WW.ADM-Services.P2V.RES.key,not in use,,,,P2V Reserves Key User,,,,,,
dlg.WW.ADM-Services.P2V.RES.power,not in use,,,,P2V Reserves Power User,,,,,,
dlg.WW.ADM-Services.P2V.serveradmin,SYSTEM,,,,P2V Production Server Admin,admin access to production servers,,,,,
dlg.WW.ADM-Services.P2V.testserveradmin,SYSTEM,,,,P2V Test Server Admin,admin access to test servers,,,,,
dlg.WW.ADM-Services.P2V.useradmin,SPECIAL,,User.admin,,P2V User Admin,permissions for Plan2Value useradministration,,,,,
dlg.WW.ADM-Services.PetroVR,PROFILE,,A02.profile.PetroVR,,PetroVR,PetroVR user,,,,PetroVR,permissions for PetroVR users to get access to Economics-as-a-Service
dlg.WW.ADM-Services.PetroVR.citrixdesktop,PETROVR,,,,PetroVR Citrix Desktop,access to PetroVR on Citrix Desktop rather than published application,,,,,
papp.drms.AE.GhashaConfidential,BD,,Z.BD.022,,Ghasha,,,,,,
papp.drms.AE.UmmLuluSarb.all,BD,,Z.BD.021,,UmmLuluSarb,,,,,,
dlg.WW.ADM-Services.P2V.data.GasEast,DATA,,data.GasEast,,P2V Data Gas East,GasEast treated like a dedicated country,,,,Gas East,Access to data from Gas East
dlg.WW.ADM-Services.P2V.data.GasWest,DATA,,data.GasWest,,P2V Data Gas West,Gas West treated lik a dedicated country,,,,Gas West,Access to data from Gas West
