Iteration,Timestamp,Path,ShareRelativePath,ClientComputerName,ClientUserName,ContinuouslyAvailable,Locks
180,2023-07-03 13:02:38,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
181,2023-07-03 13:02:39,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
182,2023-07-03 13:02:40,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
183,2023-07-03 13:02:41,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
184,2023-07-03 13:02:42,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
185,2023-07-03 13:02:43,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
186,2023-07-03 13:02:44,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
187,2023-07-03 13:02:45,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
188,2023-07-03 13:02:46,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
189,2023-07-03 13:02:47,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
190,2023-07-03 13:02:48,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
191,2023-07-03 13:02:49,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
192,2023-07-03 13:02:50,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
193,2023-07-03 13:02:51,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
194,2023-07-03 13:02:52,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
195,2023-07-03 13:02:53,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
196,2023-07-03 13:02:54,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
197,2023-07-03 13:02:55,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
198,2023-07-03 13:02:56,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
199,2023-07-03 13:02:57,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
200,2023-07-03 13:02:58,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
201,2023-07-03 13:02:59,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
202,2023-07-03 13:03:00,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
203,2023-07-03 13:03:01,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
204,2023-07-03 13:03:02,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
205,2023-07-03 13:03:03,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
206,2023-07-03 13:03:04,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
207,2023-07-03 13:03:05,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
208,2023-07-03 13:03:06,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
209,2023-07-03 13:03:07,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
210,2023-07-03 13:03:08,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
211,2023-07-03 13:03:09,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
212,2023-07-03 13:03:10,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
213,2023-07-03 13:03:11,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
214,2023-07-03 13:03:12,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
215,2023-07-03 13:03:13,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
216,2023-07-03 13:03:14,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
217,2023-07-03 13:03:15,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
218,2023-07-03 13:03:16,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
219,2023-07-03 13:03:17,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
220,2023-07-03 13:03:18,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
221,2023-07-03 13:03:20,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
222,2023-07-03 13:03:21,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
223,2023-07-03 13:03:22,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
224,2023-07-03 13:03:23,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
224,2023-07-03 13:03:23,D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetVariables\12999\resultSetVariables7b1e9ae3-67ce-4443-9bbe-6b6c34fb4186.txt,P2V_UPDATE\PlanningSpace Economics\ResultSetVariables\12999\resultSetVariables7b1e9ae3-67ce-4443-9bbe-6b6c34fb4186.txt,10.12.9.196,WW\s.at.aucerna_ips,FALSE,0
225,2023-07-03 13:03:24,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
225,2023-07-03 13:03:24,D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetVariables\12999\resultSetVariables7b1e9ae3-67ce-4443-9bbe-6b6c34fb4186.txt,P2V_UPDATE\PlanningSpace Economics\ResultSetVariables\12999\resultSetVariables7b1e9ae3-67ce-4443-9bbe-6b6c34fb4186.txt,10.12.9.196,WW\s.at.aucerna_ips,FALSE,0
226,2023-07-03 13:03:25,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
226,2023-07-03 13:03:25,D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetVariables\12999\resultSetVariables7b1e9ae3-67ce-4443-9bbe-6b6c34fb4186.txt,P2V_UPDATE\PlanningSpace Economics\ResultSetVariables\12999\resultSetVariables7b1e9ae3-67ce-4443-9bbe-6b6c34fb4186.txt,10.12.9.196,WW\s.at.aucerna_ips,FALSE,0
226,2023-07-03 13:03:25,D:\IPS_share_2\P2V_UPDATE\PLANNINGSPACE ECONOMICS\RESULTSETVARIABLES\12999\RESULTSETVARIABLES7B1E9AE3-67CE-4443-9BBE-6B6C34FB4186.TXT,P2V_UPDATE\PLANNINGSPACE ECONOMICS\RESULTSETVARIABLES\12999\RESULTSETVARIABLES7B1E9AE3-67CE-4443-9BBE-6B6C34FB4186.TXT,10.12.9.196,WW\s.at.aucerna_ips,FALSE,0
227,2023-07-03 13:03:26,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
227,2023-07-03 13:03:26,D:\IPS_share_2\P2V_UPDATE\PLANNINGSPACE ECONOMICS\RESULTSETVARIABLES\12999\RESULTSETVARIABLES7B1E9AE3-67CE-4443-9BBE-6B6C34FB4186.TXT,P2V_UPDATE\PLANNINGSPACE ECONOMICS\RESULTSETVARIABLES\12999\RESULTSETVARIABLES7B1E9AE3-67CE-4443-9BBE-6B6C34FB4186.TXT,10.12.9.196,WW\s.at.aucerna_ips,FALSE,0
