displayprofile,profile,groups,Ptype,type,lic
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,temp.adjust.input.readonly,[Profile],Template,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,temp.economics.readonly,[Profile],Template,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,temp.ecoresults.readonly,[Profile],Template,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,temp.financials.readonly,[Profile],Template,
profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,temp.input,[Profile],Template,
profile.PP.local,profile.PP.local,temp.admin,[Profile],Template,
profile.PP.local,profile.PP.local,profile.PP.local,[Profile],PROFILE,
profile.PP.local,profile.PP.local,P2V.base,[Profile],General,
profile.PP.local,profile.PP.local,Reporting,[Profile],API,
profile.PP.local,profile.PP.local,DataFlow.key,[Profile],DataFlow,
profile.PP.local,profile.PP.local,Portfolio,[Profile],Portfolio,
profile.PP.local,profile.PP.local,Reserves.base,[Profile],Reserves,
profile.PP.local,profile.PP.local,Input.Confirm,[Profile],General,
profile.PP.local,profile.PP.local,license.heavy,[Profile],License,
profile.PP.local,profile.PP.local,temp.adjust.admin,[Profile],Template,
profile.PP.local,profile.PP.local,temp.adjust.eco.readonly,[Profile],Template,
profile.PP.local,profile.PP.local,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.PP.local,profile.PP.local,temp.adjust.fin.readonly,[Profile],Template,
profile.PP.local,profile.PP.local,temp.adjust.input.readonly,[Profile],Template,
profile.PP.local,profile.PP.local,temp.economics.readonly,[Profile],Template,
profile.PP.local,profile.PP.local,temp.ecoresults.readonly,[Profile],Template,
profile.PP.local,profile.PP.local,temp.financials.readonly,[Profile],Template,
profile.PP.local,profile.PP.local,temp.input,[Profile],Template,
profile.Projectmanager,profile.Projectmanager,Input.Confirm,[Profile],General,
profile.Projectmanager,profile.Projectmanager,license.light,[Profile],License,
profile.Projectmanager,profile.Projectmanager,P2V.base,[Profile],General,
profile.Projectmanager,profile.Projectmanager,Portfolio,[Profile],Portfolio,
profile.Projectmanager,profile.Projectmanager,profile.Projectmanager,[Profile],PROFILE,
profile.Projectmanager,profile.Projectmanager,Reporting,[Profile],API,
profile.Projectmanager,profile.Projectmanager,temp.adjust.admin.readonly,[Profile],Template,
profile.Projectmanager,profile.Projectmanager,temp.adjust.eco.readonly,[Profile],Template,
profile.Projectmanager,profile.Projectmanager,temp.adjust.ecoresults.deny,[Profile],Template,
profile.Projectmanager,profile.Projectmanager,temp.adjust.fin.readonly,[Profile],Template,
